ID,WijkenEnBuurten,Gemeentenaam_1,SoortRegio_2,Codering_3,IndelingswijzigingWijkenEnBuurten_4,AantalInstallatiesBijWoningen_5,OpgesteldVermogenVanZonnepanelen_6
64,BU16801902,Aa en Hunze                             ,Buurt     ,BU16801902,1,,
65,BU16801903,Aa en Hunze                             ,Buurt     ,BU16801903,1,6.0,37.0
66,BU16801908,Aa en Hunze                             ,Buurt     ,BU16801908,1,,
67,BU16801909,Aa en Hunze                             ,Buurt     ,BU16801909,1,11.0,55.0
68,WK168020  ,Aa en Hunze                             ,Wijk      ,WK168020  ,1,47.0,197.0
69,BU16802000,Aa en Hunze                             ,Buurt     ,BU16802000,1,29.0,112.0
70,BU16802001,Aa en Hunze                             ,Buurt     ,BU16802001,1,,
71,BU16802008,Aa en Hunze                             ,Buurt     ,BU16802008,1,,
72,BU16802009,Aa en Hunze                             ,Buurt     ,BU16802009,1,8.0,53.0
73,WK168021  ,Aa en Hunze                             ,Wijk      ,WK168021  ,1,27.0,133.0
74,BU16802100,Aa en Hunze                             ,Buurt     ,BU16802100,1,10.0,43.0
75,BU16802101,Aa en Hunze                             ,Buurt     ,BU16802101,1,7.0,31.0
76,BU16802109,Aa en Hunze                             ,Buurt     ,BU16802109,1,10.0,59.0
77,GM0738    ,Aalburg                                 ,Gemeente  ,GM0738    ,.,162.0,756.0
78,WK073800  ,Aalburg                                 ,Wijk      ,WK073800  ,1,62.0,261.0
79,BU07380000,Aalburg                                 ,Buurt     ,BU07380000,1,52.0,218.0
80,BU07380001,Aalburg                                 ,Buurt     ,BU07380001,1,6.0,25.0
81,BU07380009,Aalburg                                 ,Buurt     ,BU07380009,1,4.0,18.0
82,WK073801  ,Aalburg                                 ,Wijk      ,WK073801  ,1,21.0,61.0
83,BU07380100,Aalburg                                 ,Buurt     ,BU07380100,1,21.0,61.0
84,BU07380109,Aalburg                                 ,Buurt     ,BU07380109,1,,
85,WK073802  ,Aalburg                                 ,Wijk      ,WK073802  ,1,31.0,124.0
86,BU07380200,Aalburg                                 ,Buurt     ,BU07380200,1,,
87,BU07380209,Aalburg                                 ,Buurt     ,BU07380209,1,,
88,WK073803  ,Aalburg                                 ,Wijk      ,WK073803  ,1,13.0,167.0
89,BU07380300,Aalburg                                 ,Buurt     ,BU07380300,1,,
90,BU07380309,Aalburg                                 ,Buurt     ,BU07380309,1,,
91,WK073804  ,Aalburg                                 ,Wijk      ,WK073804  ,1,20.0,78.0
92,BU07380400,Aalburg                                 ,Buurt     ,BU07380400,1,15.0,62.0
93,BU07380409,Aalburg                                 ,Buurt     ,BU07380409,1,5.0,16.0
94,WK073805  ,Aalburg                                 ,Wijk      ,WK073805  ,1,6.0,24.0
95,BU07380500,Aalburg                                 ,Buurt     ,BU07380500,1,,
96,BU07380509,Aalburg                                 ,Buurt     ,BU07380509,1,,
97,WK073806  ,Aalburg                                 ,Wijk      ,WK073806  ,1,9.0,42.0
98,BU07380600,Aalburg                                 ,Buurt     ,BU07380600,1,,
99,BU07380609,Aalburg                                 ,Buurt     ,BU07380609,1,,
100,GM0358    ,Aalsmeer                                ,Gemeente  ,GM0358    ,.,732.0,2324.0
101,WK035800  ,Aalsmeer                                ,Wijk      ,WK035800  ,1,217.0,715.0
102,BU03580000,Aalsmeer                                ,Buurt     ,BU03580000,1,39.0,179.0
103,BU03580001,Aalsmeer                                ,Buurt     ,BU03580001,1,115.0,329.0
104,BU03580004,Aalsmeer                                ,Buurt     ,BU03580004,1,38.0,92.0
105,BU03580005,Aalsmeer                                ,Buurt     ,BU03580005,1,25.0,115.0
106,WK035801  ,Aalsmeer                                ,Wijk      ,WK035801  ,1,230.0,636.0
107,BU03580100,Aalsmeer                                ,Buurt     ,BU03580100,1,230.0,636.0
108,WK035802  ,Aalsmeer                                ,Wijk      ,WK035802  ,1,285.0,973.0
109,BU03580200,Aalsmeer                                ,Buurt     ,BU03580200,1,32.0,158.0
110,BU03580201,Aalsmeer                                ,Buurt     ,BU03580201,1,27.0,104.0
111,BU03580205,Aalsmeer                                ,Buurt     ,BU03580205,1,210.0,642.0
112,BU03580206,Aalsmeer                                ,Buurt     ,BU03580206,1,16.0,69.0
113,GM0197    ,Aalten                                  ,Gemeente  ,GM0197    ,.,978.0,3436.0
114,WK019701  ,Aalten                                  ,Wijk      ,WK019701  ,1,137.0,646.0
115,BU01970101,Aalten                                  ,Buurt     ,BU01970101,1,6.0,25.0
116,BU01970102,Aalten                                  ,Buurt     ,BU01970102,1,20.0,129.0
117,BU01970103,Aalten                                  ,Buurt     ,BU01970103,1,,
118,BU01970104,Aalten                                  ,Buurt     ,BU01970104,1,18.0,87.0
119,BU01970105,Aalten                                  ,Buurt     ,BU01970105,1,10.0,36.0
120,BU01970106,Aalten                                  ,Buurt     ,BU01970106,1,9.0,30.0
121,BU01970107,Aalten                                  ,Buurt     ,BU01970107,1,6.0,32.0
122,BU01970108,Aalten                                  ,Buurt     ,BU01970108,1,14.0,65.0
123,BU01970109,Aalten                                  ,Buurt     ,BU01970109,1,,
124,BU01970110,Aalten                                  ,Buurt     ,BU01970110,1,23.0,96.0
125,BU01970111,Aalten                                  ,Buurt     ,BU01970111,1,13.0,64.0
126,BU01970112,Aalten                                  ,Buurt     ,BU01970112,1,5.0,17.0
127,WK019702  ,Aalten                                  ,Wijk      ,WK019702  ,1,66.0,228.0
128,BU01970201,Aalten                                  ,Buurt     ,BU01970201,1,3.0,10.0
129,BU01970202,Aalten                                  ,Buurt     ,BU01970202,1,,
130,BU01970203,Aalten                                  ,Buurt     ,BU01970203,1,,
131,BU01970204,Aalten                                  ,Buurt     ,BU01970204,1,48.0,159.0
132,WK019703  ,Aalten                                  ,Wijk      ,WK019703  ,1,448.0,1391.0
133,BU01970301,Aalten                                  ,Buurt     ,BU01970301,1,79.0,232.0
134,BU01970302,Aalten                                  ,Buurt     ,BU01970302,1,88.0,289.0
135,BU01970303,Aalten                                  ,Buurt     ,BU01970303,1,66.0,182.0
136,BU01970304,Aalten                                  ,Buurt     ,BU01970304,1,100.0,304.0
137,BU01970305,Aalten                                  ,Buurt     ,BU01970305,1,29.0,108.0
138,BU01970306,Aalten                                  ,Buurt     ,BU01970306,1,41.0,117.0
139,BU01970307,Aalten                                  ,Buurt     ,BU01970307,1,45.0,160.0
140,WK019704  ,Aalten                                  ,Wijk      ,WK019704  ,1,327.0,1170.0
141,BU01970400,Aalten                                  ,Buurt     ,BU01970400,1,90.0,278.0
142,BU01970401,Aalten                                  ,Buurt     ,BU01970401,1,66.0,221.0
143,BU01970402,Aalten                                  ,Buurt     ,BU01970402,1,93.0,317.0
144,BU01970403,Aalten                                  ,Buurt     ,BU01970403,1,22.0,81.0
145,BU01970408,Aalten                                  ,Buurt     ,BU01970408,1,21.0,120.0
146,BU01970409,Aalten                                  ,Buurt     ,BU01970409,1,35.0,153.0
147,GM0059    ,Achtkarspelen                           ,Gemeente  ,GM0059    ,.,732.0,2654.0
148,WK005900  ,Achtkarspelen                           ,Wijk      ,WK005900  ,1,331.0,1095.0
149,BU00590000,Achtkarspelen                           ,Buurt     ,BU00590000,1,171.0,545.0
150,BU00590001,Achtkarspelen                           ,Buurt     ,BU00590001,1,17.0,58.0
151,BU00590002,Achtkarspelen                           ,Buurt     ,BU00590002,1,41.0,133.0
152,BU00590003,Achtkarspelen                           ,Buurt     ,BU00590003,1,38.0,131.0
153,BU00590004,Achtkarspelen                           ,Buurt     ,BU00590004,1,10.0,32.0
154,BU00590005,Achtkarspelen                           ,Buurt     ,BU00590005,1,23.0,100.0
155,BU00590006,Achtkarspelen                           ,Buurt     ,BU00590006,1,4.0,15.0
156,BU00590007,Achtkarspelen                           ,Buurt     ,BU00590007,1,11.0,37.0
157,BU00590008,Achtkarspelen                           ,Buurt     ,BU00590008,1,11.0,24.0
158,BU00590009,Achtkarspelen                           ,Buurt     ,BU00590009,1,5.0,20.0
159,WK005901  ,Achtkarspelen                           ,Wijk      ,WK005901  ,1,100.0,424.0
160,BU00590100,Achtkarspelen                           ,Buurt     ,BU00590100,1,,
161,BU00590102,Achtkarspelen                           ,Buurt     ,BU00590102,1,56.0,264.0
162,BU00590103,Achtkarspelen                           ,Buurt     ,BU00590103,1,24.0,86.0
163,BU00590107,Achtkarspelen                           ,Buurt     ,BU00590107,1,,
164,BU00590108,Achtkarspelen                           ,Buurt     ,BU00590108,1,9.0,31.0
165,BU00590109,Achtkarspelen                           ,Buurt     ,BU00590109,1,7.0,26.0
166,WK005902  ,Achtkarspelen                           ,Wijk      ,WK005902  ,1,301.0,1135.0
167,BU00590200,Achtkarspelen                           ,Buurt     ,BU00590200,1,137.0,474.0
168,BU00590201,Achtkarspelen                           ,Buurt     ,BU00590201,1,74.0,302.0
169,BU00590202,Achtkarspelen                           ,Buurt     ,BU00590202,1,26.0,82.0
170,BU00590203,Achtkarspelen                           ,Buurt     ,BU00590203,1,8.0,24.0
171,BU00590206,Achtkarspelen                           ,Buurt     ,BU00590206,1,13.0,55.0
172,BU00590207,Achtkarspelen                           ,Buurt     ,BU00590207,1,8.0,37.0
173,BU00590208,Achtkarspelen                           ,Buurt     ,BU00590208,1,17.0,101.0
174,BU00590209,Achtkarspelen                           ,Buurt     ,BU00590209,1,18.0,59.0
175,GM0482    ,Alblasserdam                            ,Gemeente  ,GM0482    ,.,289.0,824.0
176,WK048201  ,Alblasserdam                            ,Wijk      ,WK048201  ,1,61.0,192.0
177,BU04820101,Alblasserdam                            ,Buurt     ,BU04820101,1,15.0,42.0
178,BU04820102,Alblasserdam                            ,Buurt     ,BU04820102,1,3.0,5.0
179,BU04820103,Alblasserdam                            ,Buurt     ,BU04820103,1,17.0,38.0
180,BU04820104,Alblasserdam                            ,Buurt     ,BU04820104,1,14.0,37.0
181,BU04820105,Alblasserdam                            ,Buurt     ,BU04820105,1,12.0,69.0
182,WK048202  ,Alblasserdam                            ,Wijk      ,WK048202  ,1,57.0,181.0
183,BU04820201,Alblasserdam                            ,Buurt     ,BU04820201,1,8.0,37.0
184,BU04820202,Alblasserdam                            ,Buurt     ,BU04820202,1,12.0,43.0
185,BU04820203,Alblasserdam                            ,Buurt     ,BU04820203,1,,
186,BU04820204,Alblasserdam                            ,Buurt     ,BU04820204,1,,
187,BU04820205,Alblasserdam                            ,Buurt     ,BU04820205,1,13.0,32.0
188,BU04820206,Alblasserdam                            ,Buurt     ,BU04820206,1,11.0,30.0
189,WK048203  ,Alblasserdam                            ,Wijk      ,WK048203  ,1,,
190,BU04820301,Alblasserdam                            ,Buurt     ,BU04820301,1,25.0,60.0
191,BU04820302,Alblasserdam                            ,Buurt     ,BU04820302,1,20.0,54.0
192,BU04820303,Alblasserdam                            ,Buurt     ,BU04820303,1,,
193,BU04820304,Alblasserdam                            ,Buurt     ,BU04820304,1,21.0,43.0
194,BU04820305,Alblasserdam                            ,Buurt     ,BU04820305,1,10.0,25.0
195,BU04820306,Alblasserdam                            ,Buurt     ,BU04820306,1,13.0,35.0
196,BU04820307,Alblasserdam                            ,Buurt     ,BU04820307,1,13.0,25.0
197,WK048204  ,Alblasserdam                            ,Wijk      ,WK048204  ,1,34.0,83.0
198,BU04820401,Alblasserdam                            ,Buurt     ,BU04820401,1,14.0,34.0
199,BU04820402,Alblasserdam                            ,Buurt     ,BU04820402,1,17.0,42.0
200,BU04820403,Alblasserdam                            ,Buurt     ,BU04820403,1,3.0,8.0
201,BU04820404,Alblasserdam                            ,Buurt     ,BU04820404,1,,
202,WK048205  ,Alblasserdam                            ,Wijk      ,WK048205  ,1,4.0,50.0
203,BU04820501,Alblasserdam                            ,Buurt     ,BU04820501,1,,
204,BU04820502,Alblasserdam                            ,Buurt     ,BU04820502,1,,
205,BU04820503,Alblasserdam                            ,Buurt     ,BU04820503,1,,
206,WK048206  ,Alblasserdam                            ,Wijk      ,WK048206  ,1,,
207,BU04820601,Alblasserdam                            ,Buurt     ,BU04820601,1,,
208,BU04820602,Alblasserdam                            ,Buurt     ,BU04820602,1,,
209,BU04820603,Alblasserdam                            ,Buurt     ,BU04820603,1,,
210,BU04820604,Alblasserdam                            ,Buurt     ,BU04820604,1,,
211,GM0613    ,Albrandswaard                           ,Gemeente  ,GM0613    ,.,332.0,982.0
212,WK061301  ,Albrandswaard                           ,Wijk      ,WK061301  ,1,41.0,120.0
213,BU06130101,Albrandswaard                           ,Buurt     ,BU06130101,1,33.0,84.0
214,BU06130102,Albrandswaard                           ,Buurt     ,BU06130102,1,,
215,BU06130103,Albrandswaard                           ,Buurt     ,BU06130103,1,,
216,BU06130104,Albrandswaard                           ,Buurt     ,BU06130104,1,,
217,WK061302  ,Albrandswaard                           ,Wijk      ,WK061302  ,1,29.0,66.0
218,BU06130205,Albrandswaard                           ,Buurt     ,BU06130205,1,,
219,BU06130207,Albrandswaard                           ,Buurt     ,BU06130207,1,,
220,WK061303  ,Albrandswaard                           ,Wijk      ,WK061303  ,1,,
221,BU06130308,Albrandswaard                           ,Buurt     ,BU06130308,1,9.0,26.0
222,BU06130309,Albrandswaard                           ,Buurt     ,BU06130309,1,26.0,71.0
223,BU06130310,Albrandswaard                           ,Buurt     ,BU06130310,1,17.0,43.0
224,BU06130311,Albrandswaard                           ,Buurt     ,BU06130311,1,21.0,57.0
225,BU06130312,Albrandswaard                           ,Buurt     ,BU06130312,1,5.0,11.0
226,BU06130313,Albrandswaard                           ,Buurt     ,BU06130313,1,,
227,WK061304  ,Albrandswaard                           ,Wijk      ,WK061304  ,1,91.0,287.0
228,BU06130414,Albrandswaard                           ,Buurt     ,BU06130414,1,16.0,48.0
229,BU06130415,Albrandswaard                           ,Buurt     ,BU06130415,1,33.0,89.0
230,BU06130416,Albrandswaard                           ,Buurt     ,BU06130416,1,,
231,BU06130417,Albrandswaard                           ,Buurt     ,BU06130417,1,10.0,35.0
232,BU06130418,Albrandswaard                           ,Buurt     ,BU06130418,1,,
233,BU06130419,Albrandswaard                           ,Buurt     ,BU06130419,1,10.0,18.0
234,BU06130420,Albrandswaard                           ,Buurt     ,BU06130420,1,7.0,25.0
235,WK061305  ,Albrandswaard                           ,Wijk      ,WK061305  ,1,6.0,18.0
236,BU06130521,Albrandswaard                           ,Buurt     ,BU06130521,1,,
237,BU06130522,Albrandswaard                           ,Buurt     ,BU06130522,1,6.0,18.0
238,WK061306  ,Albrandswaard                           ,Wijk      ,WK061306  ,1,84.0,275.0
239,BU06130623,Albrandswaard                           ,Buurt     ,BU06130623,1,26.0,90.0
240,BU06130624,Albrandswaard                           ,Buurt     ,BU06130624,1,,
241,BU06130625,Albrandswaard                           ,Buurt     ,BU06130625,1,,
242,BU06130626,Albrandswaard                           ,Buurt     ,BU06130626,1,36.0,104.0
243,WK061307  ,Albrandswaard                           ,Wijk      ,WK061307  ,1,,
244,BU06130706,Albrandswaard                           ,Buurt     ,BU06130706,1,,
245,GM0361    ,Alkmaar                                 ,Gemeente  ,GM0361    ,.,,
246,WK036101  ,Alkmaar                                 ,Wijk      ,WK036101  ,1,185.0,403.0
247,BU03610100,Alkmaar                                 ,Buurt     ,BU03610100,1,18.0,43.0
248,BU03610101,Alkmaar                                 ,Buurt     ,BU03610101,1,19.0,33.0
249,BU03610102,Alkmaar                                 ,Buurt     ,BU03610102,1,,
250,BU03610103,Alkmaar                                 ,Buurt     ,BU03610103,1,,
251,BU03610104,Alkmaar                                 ,Buurt     ,BU03610104,1,16.0,35.0
252,BU03610105,Alkmaar                                 ,Buurt     ,BU03610105,1,23.0,50.0
253,BU03610106,Alkmaar                                 ,Buurt     ,BU03610106,1,24.0,73.0
254,BU03610107,Alkmaar                                 ,Buurt     ,BU03610107,1,11.0,21.0
255,BU03610108,Alkmaar                                 ,Buurt     ,BU03610108,1,21.0,43.0
256,BU03610109,Alkmaar                                 ,Buurt     ,BU03610109,1,30.0,61.0
257,WK036102  ,Alkmaar                                 ,Wijk      ,WK036102  ,1,489.0,1192.0
258,BU03610200,Alkmaar                                 ,Buurt     ,BU03610200,1,86.0,226.0
259,BU03610201,Alkmaar                                 ,Buurt     ,BU03610201,1,54.0,145.0
260,BU03610202,Alkmaar                                 ,Buurt     ,BU03610202,1,,
261,BU03610203,Alkmaar                                 ,Buurt     ,BU03610203,1,40.0,131.0
262,BU03610204,Alkmaar                                 ,Buurt     ,BU03610204,1,18.0,50.0
263,BU03610205,Alkmaar                                 ,Buurt     ,BU03610205,1,14.0,33.0
264,BU03610206,Alkmaar                                 ,Buurt     ,BU03610206,1,36.0,76.0
265,BU03610208,Alkmaar                                 ,Buurt     ,BU03610208,1,172.0,342.0
266,BU03610209,Alkmaar                                 ,Buurt     ,BU03610209,1,,
267,WK036103  ,Alkmaar                                 ,Wijk      ,WK036103  ,1,45.0,95.0
268,BU03610300,Alkmaar                                 ,Buurt     ,BU03610300,1,,
269,BU03610301,Alkmaar                                 ,Buurt     ,BU03610301,1,,
270,BU03610302,Alkmaar                                 ,Buurt     ,BU03610302,1,9.0,18.0
271,BU03610303,Alkmaar                                 ,Buurt     ,BU03610303,1,16.0,39.0
272,BU03610308,Alkmaar                                 ,Buurt     ,BU03610308,1,,
273,BU03610309,Alkmaar                                 ,Buurt     ,BU03610309,1,,
274,WK036104  ,Alkmaar                                 ,Wijk      ,WK036104  ,1,223.0,489.0
275,BU03610400,Alkmaar                                 ,Buurt     ,BU03610400,1,38.0,92.0
276,BU03610401,Alkmaar                                 ,Buurt     ,BU03610401,1,58.0,137.0
277,BU03610402,Alkmaar                                 ,Buurt     ,BU03610402,1,37.0,52.0
278,BU03610403,Alkmaar                                 ,Buurt     ,BU03610403,1,23.0,45.0
279,BU03610404,Alkmaar                                 ,Buurt     ,BU03610404,1,60.0,147.0
280,BU03610409,Alkmaar                                 ,Buurt     ,BU03610409,1,7.0,15.0
281,WK036105  ,Alkmaar                                 ,Wijk      ,WK036105  ,1,448.0,1338.0
282,BU03610500,Alkmaar                                 ,Buurt     ,BU03610500,1,34.0,80.0
283,BU03610501,Alkmaar                                 ,Buurt     ,BU03610501,1,7.0,107.0
284,BU03610502,Alkmaar                                 ,Buurt     ,BU03610502,1,64.0,127.0
285,BU03610503,Alkmaar                                 ,Buurt     ,BU03610503,1,18.0,41.0
286,BU03610504,Alkmaar                                 ,Buurt     ,BU03610504,1,325.0,984.0
287,BU03610505,Alkmaar                                 ,Buurt     ,BU03610505,1,,
288,WK036106  ,Alkmaar                                 ,Wijk      ,WK036106  ,1,355.0,779.0
289,BU03610600,Alkmaar                                 ,Buurt     ,BU03610600,1,107.0,252.0
290,BU03610601,Alkmaar                                 ,Buurt     ,BU03610601,1,89.0,183.0
291,BU03610602,Alkmaar                                 ,Buurt     ,BU03610602,1,80.0,169.0
292,BU03610603,Alkmaar                                 ,Buurt     ,BU03610603,1,65.0,140.0
293,BU03610604,Alkmaar                                 ,Buurt     ,BU03610604,1,14.0,35.0
294,WK036107  ,Alkmaar                                 ,Wijk      ,WK036107  ,1,351.0,826.0
295,BU03610700,Alkmaar                                 ,Buurt     ,BU03610700,1,93.0,244.0
296,BU03610701,Alkmaar                                 ,Buurt     ,BU03610701,1,47.0,96.0
297,BU03610702,Alkmaar                                 ,Buurt     ,BU03610702,1,,
298,BU03610703,Alkmaar                                 ,Buurt     ,BU03610703,1,64.0,142.0
299,BU03610704,Alkmaar                                 ,Buurt     ,BU03610704,1,77.0,183.0
300,BU03610709,Alkmaar                                 ,Buurt     ,BU03610709,1,,
301,WK036108  ,Alkmaar                                 ,Wijk      ,WK036108  ,1,61.0,150.0
302,BU03610800,Alkmaar                                 ,Buurt     ,BU03610800,1,9.0,19.0
303,BU03610801,Alkmaar                                 ,Buurt     ,BU03610801,1,33.0,94.0
304,BU03610802,Alkmaar                                 ,Buurt     ,BU03610802,1,,
305,BU03610803,Alkmaar                                 ,Buurt     ,BU03610803,1,,
306,WK036109  ,Alkmaar                                 ,Wijk      ,WK036109  ,1,184.0,611.0
307,BU03610900,Alkmaar                                 ,Buurt     ,BU03610900,1,31.0,97.0
308,BU03610901,Alkmaar                                 ,Buurt     ,BU03610901,1,4.0,78.0
309,BU03610902,Alkmaar                                 ,Buurt     ,BU03610902,1,56.0,169.0
310,BU03610903,Alkmaar                                 ,Buurt     ,BU03610903,1,50.0,148.0
311,BU03610904,Alkmaar                                 ,Buurt     ,BU03610904,1,12.0,33.0
312,BU03610905,Alkmaar                                 ,Buurt     ,BU03610905,1,9.0,34.0
313,BU03610906,Alkmaar                                 ,Buurt     ,BU03610906,1,22.0,52.0
314,WK036110  ,Alkmaar                                 ,Wijk      ,WK036110  ,1,,
315,BU03611000,Alkmaar                                 ,Buurt     ,BU03611000,1,5.0,12.0
316,BU03611001,Alkmaar                                 ,Buurt     ,BU03611001,1,25.0,88.0
317,BU03611002,Alkmaar                                 ,Buurt     ,BU03611002,1,30.0,88.0
318,BU03611003,Alkmaar                                 ,Buurt     ,BU03611003,1,54.0,165.0
319,BU03611004,Alkmaar                                 ,Buurt     ,BU03611004,1,5.0,12.0
320,BU03611005,Alkmaar                                 ,Buurt     ,BU03611005,1,,
321,BU03611006,Alkmaar                                 ,Buurt     ,BU03611006,1,9.0,26.0
322,GM0141    ,Almelo                                  ,Gemeente  ,GM0141    ,.,1422.0,4820.0
323,WK014110  ,Almelo                                  ,Wijk      ,WK014110  ,1,21.0,53.0
324,BU01411000,Almelo                                  ,Buurt     ,BU01411000,1,12.0,30.0
325,BU01411001,Almelo                                  ,Buurt     ,BU01411001,1,3.0,5.0
326,BU01411002,Almelo                                  ,Buurt     ,BU01411002,1,3.0,10.0
327,BU01411003,Almelo                                  ,Buurt     ,BU01411003,1,3.0,8.0
328,WK014111  ,Almelo                                  ,Wijk      ,WK014111  ,1,61.0,190.0
329,BU01411100,Almelo                                  ,Buurt     ,BU01411100,1,8.0,33.0
330,BU01411101,Almelo                                  ,Buurt     ,BU01411101,1,,
331,BU01411102,Almelo                                  ,Buurt     ,BU01411102,1,14.0,38.0
332,BU01411103,Almelo                                  ,Buurt     ,BU01411103,1,,
333,BU01411104,Almelo                                  ,Buurt     ,BU01411104,1,,
334,BU01411105,Almelo                                  ,Buurt     ,BU01411105,1,,
335,BU01411106,Almelo                                  ,Buurt     ,BU01411106,1,19.0,55.0
336,BU01411109,Almelo                                  ,Buurt     ,BU01411109,1,3.0,10.0
