ID,VerblijfsrecreatieveLogiesvormen,Perioden,AlleLanden_1,Nederland_2,BuitenlandTotaal_3,EuropaExclusiefNederland_4,Duitsland_5,Belgie_6,GrootBrittannie_7,Frankrijk_8,Zwitserland_9,Italie_10,Spanje_11,Denemarken_12,Zweden_13,OverigeLandenEurozone_14,OverigEuropa_15,Amerika_16,Azie_17,AustralieEnOceanie_18,Afrika_19,AlleLanden_20,Nederland_21,BuitenlandTotaal_22,EuropaExclusiefNederland_23,Duitsland_24,Belgie_25,GrootBrittannie_26,Frankrijk_27,Zwitserland_28,Italie_29,Spanje_30,Denemarken_31,Zweden_32,OverigeLandenEurozone_33,OverigEuropa_34,Amerika_35,Azie_36,AustralieEnOceanie_37,Afrika_38
14,1000,2000MM12,396.1,346.9,49.2,48.9,35.1,9.5,1.6,,,,,,,,1.2,,,,,1859.3,1605.9,253.4,250.8,167.0,38.5,14.8,,,,,,,,19.5,,,,
15,1000,2000KW04,1647.0,1333.5,313.5,311.0,235.5,51.5,9.2,4.7,,1.4,,1.3,,,6.0,,,1.1,,7459.1,5851.6,1607.5,1596.2,1259.7,203.4,52.3,25.8,,3.7,,5.5,,,38.4,,,3.8,
16,1000,2000JJ00,10337.5,8072.8,2264.7,2233.8,1559.3,260.9,112.8,75.4,16.0,88.7,36.0,21.6,,,63.0,12.2,5.7,11.1,1.9,52849.1,41283.1,11566.0,11433.5,8756.4,1141.3,535.8,242.2,63.4,203.4,117.9,71.3,,,301.7,52.2,36.6,33.8,9.9
17,1000,2001MM01,363.6,290.6,72.9,72.7,60.4,8.6,1.3,,,,,,,,,,,,,1472.8,1169.8,303.0,300.9,245.5,30.3,8.1,,,,,,,,,,,,
18,1000,2001MM02,363.6,303.6,60.0,59.9,43.3,8.5,4.6,1.3,,,,,,,1.7,,,,,1538.1,1263.6,274.5,273.6,200.1,32.1,23.3,6.2,,,,,,,8.5,,,,
19,1000,2001MM03,502.5,437.8,64.7,64.2,49.7,10.7,1.4,,,,,,,,,,,,,2066.7,1773.2,293.5,291.1,221.9,41.8,10.5,,,,,,,,,,,,
20,1000,2001KW01,1229.7,1032.0,197.6,196.8,153.4,27.8,7.3,2.5,,,,1.2,,,3.3,,,,,5077.6,4206.6,870.9,865.7,667.5,104.2,41.9,14.1,,,,6.2,,,26.1,,,,
21,1000,2001MM04,843.3,588.0,255.3,253.8,194.6,30.4,14.4,6.2,,1.8,,1.8,,,3.3,,,,,3594.7,2335.6,1259.1,1252.8,987.9,134.8,67.9,23.4,,3.7,,6.9,,,23.7,,,,
22,1000,2001MM05,1221.9,1047.8,174.1,171.7,131.7,18.8,10.6,4.4,,,,,,,3.6,1.1,,,,5038.3,4287.4,750.9,742.2,577.5,76.6,47.8,11.9,,,,,,,19.7,4.6,,,
23,1000,2001MM06,1274.7,1023.9,250.8,245.9,197.5,16.5,11.4,5.0,,2.2,2.2,4.1,,,6.2,1.9,,2.1,,6217.3,4914.9,1302.3,1279.6,1043.5,88.1,53.9,17.7,,8.2,11.7,17.9,,,35.4,10.2,,8.9,
24,1000,2001KW02,3339.9,2659.7,680.3,671.4,523.8,65.7,36.5,15.6,2.2,4.9,3.0,6.5,,,13.2,3.8,1.4,3.3,,14850.3,11537.9,3312.4,3274.6,2608.9,299.6,169.6,53.0,8.9,14.5,14.7,26.7,,,78.7,18.0,6.0,11.7,
25,1000,2001MM07,1380.6,1043.3,337.4,329.9,227.1,24.4,15.6,13.0,4.7,14.7,6.3,10.0,,,14.1,3.1,1.3,2.6,,8945.6,6968.8,1976.8,1951.3,1533.2,143.1,76.6,32.9,17.5,39.9,19.3,35.9,,,52.9,10.5,6.1,6.7,
26,1000,2001MM08,1713.6,1320.5,393.2,386.4,217.9,37.0,27.7,19.2,2.4,46.8,22.3,1.7,,,11.7,1.8,2.8,1.5,,11718.6,9680.7,2037.9,2006.6,1377.4,193.5,139.6,51.7,10.8,111.5,56.8,4.9,,,60.4,6.3,17.4,4.6,
27,1000,2001MM09,842.7,680.4,162.4,159.1,120.4,14.3,9.6,2.5,,2.7,5.3,,,,3.4,,,1.5,,3953.0,3091.0,862.0,850.0,675.7,56.8,47.8,6.7,,11.0,24.7,,,,22.7,,,3.9,
28,1000,2001KW03,3937.0,3044.1,892.9,875.5,565.4,75.6,52.8,34.7,7.6,64.1,33.9,12.3,,,29.1,5.8,4.8,5.5,1.3,24617.1,19740.5,4876.6,4807.9,3586.3,393.4,263.9,91.4,30.5,162.4,100.8,43.2,,,136.1,21.6,26.1,15.2,5.9
29,1000,2001MM10,796.1,619.4,176.7,175.4,149.8,15.7,4.8,1.4,,,,,,,1.9,,,,,3827.3,2815.0,1012.3,1007.1,884.2,64.7,21.6,6.7,,,,,,,22.6,,,,
30,1000,2001MM11,476.5,407.2,69.3,69.0,40.3,22.8,1.5,1.5,,,,,,,1.5,,,,,1831.5,1555.7,275.7,273.7,167.5,71.5,6.8,6.7,,,,,,,17.1,,,,
31,1000,2001MM12,360.7,322.7,38.1,37.8,25.9,7.6,1.5,,,1.2,,,,,,,,,,1707.8,1508.8,199.0,197.2,131.7,35.7,9.0,,,3.5,,,,,,,,,
32,1000,2001KW04,1633.3,1349.3,284.1,282.2,216.0,46.0,7.8,3.4,,2.3,,1.1,,,4.2,,,,,7366.5,5879.5,1487.0,1478.0,1183.4,172.0,37.4,16.2,,6.8,,3.9,,,52.3,,,,
33,1000,2001JJ00,10139.9,8085.1,2054.9,2026.0,1458.6,215.2,104.5,56.2,10.9,72.2,37.6,21.0,,,49.8,10.5,6.7,9.8,1.8,51911.5,41364.6,10546.9,10426.2,8046.1,969.0,512.8,174.6,45.1,186.7,118.6,80.1,,,293.3,45.4,36.4,29.7,9.2
34,1000,2002MM01,338.4,274.9,63.5,63.1,51.8,7.4,1.5,,,,,,,,,,,,,1504.3,1196.0,308.3,306.1,249.4,30.8,8.9,,,,,,,,,,,,
35,1000,2002MM02,400.5,342.2,58.4,58.2,36.5,15.7,3.0,1.6,,,,,,,,,,,,1811.6,1555.7,255.9,252.7,158.3,62.6,14.6,6.7,,,,,,,,,,,
36,1000,2002MM03,475.2,380.5,94.6,94.2,75.9,9.8,4.9,,,,,,,,,,,,,2120.4,1640.4,480.0,477.9,389.4,37.1,24.3,,,,,,,,,,,,
37,1000,2002KW01,1214.1,997.6,216.5,215.6,164.2,32.9,9.5,3.2,,,,,,1.3,2.1,,,,,5436.4,4392.2,1044.2,1036.7,797.1,130.5,47.7,15.8,,,,,,12.7,18.9,,,,
38,1000,2002MM04,892.0,647.4,244.6,243.7,166.3,42.6,13.1,9.9,2.0,3.4,,1.1,,1.6,3.0,,,,,3642.7,2528.2,1114.5,1109.6,777.3,166.0,59.9,33.7,7.6,11.1,,4.0,,6.1,40.0,,,,
39,1000,2002MM05,1448.5,1198.5,250.0,247.7,201.1,21.8,10.2,5.8,,1.9,,,,1.8,2.5,1.4,,,,6535.0,5469.4,1065.6,1055.2,880.6,81.6,40.5,15.9,,6.6,,,,8.5,12.5,6.7,,,
40,1000,2002MM06,1052.8,833.8,219.0,217.0,166.2,15.2,12.2,7.6,1.9,3.5,1.5,2.7,1.5,1.6,3.0,1.1,,,,5359.8,4098.2,1261.6,1250.4,1004.4,91.1,62.0,31.0,7.0,13.5,7.6,10.5,5.0,5.0,13.3,5.0,,,
41,1000,2002KW02,3393.3,2679.8,713.5,708.4,533.7,79.6,35.6,23.4,4.8,8.8,2.3,4.8,2.1,4.9,8.5,3.0,,1.2,,15537.5,12095.7,3441.8,3415.2,2662.3,338.7,162.4,80.6,18.0,31.2,12.0,17.6,7.0,19.6,65.8,14.2,,3.9,
42,1000,2002MM07,1323.8,1021.4,302.4,299.2,195.1,30.0,22.5,12.9,3.3,6.0,2.6,7.9,4.2,2.8,11.9,1.3,1.3,,,8867.7,7106.2,1761.6,1743.6,1291.7,177.5,102.5,36.6,14.4,16.8,8.9,27.1,11.7,15.4,41.1,6.1,7.7,,
43,1000,2002MM08,1720.2,1267.6,452.6,446.8,263.2,40.7,24.8,16.0,10.1,48.6,26.7,3.0,,4.3,8.5,1.6,2.5,1.6,,12403.7,9685.5,2718.2,2692.0,1997.8,213.5,140.2,44.2,30.1,120.2,73.4,7.9,,17.3,45.3,6.7,14.7,3.6,
44,1000,2002MM09,942.2,754.4,187.8,184.5,143.0,20.3,7.6,3.0,1.0,2.8,1.3,,,1.8,2.9,,,1.3,,4207.7,3271.3,936.4,923.0,754.5,70.4,33.8,9.1,2.6,6.2,6.7,,,14.2,22.6,,,3.3,
45,1000,2002KW03,3986.1,3043.4,942.8,930.4,601.3,90.9,54.8,32.0,14.4,57.3,30.6,11.5,5.4,8.9,23.3,3.7,4.6,3.2,,25479.1,20062.9,5416.2,5358.7,4044.0,461.3,276.6,89.9,47.1,143.2,89.0,36.5,15.3,46.9,109.0,16.8,27.2,7.8,
46,1000,2002MM10,780.7,602.9,177.7,176.3,148.7,17.1,4.8,2.2,,,,,,,,,,,,3894.3,2870.3,1024.0,1019.9,883.1,80.7,23.8,9.7,,,,,,,,,,,
47,1000,2002MM11,477.3,403.3,74.0,73.7,37.1,31.9,1.8,1.1,,,,,,,,,,,,1862.3,1543.9,318.4,316.9,167.5,117.6,10.0,4.7,,,,,,,,,,,
48,1000,2002MM12,365.0,327.0,38.0,37.6,22.6,11.1,,,,,,,,,,,,,,1647.3,1445.7,201.7,199.0,125.2,45.5,,,,,,,,,,,,,
49,1000,2002KW04,1622.9,1333.2,289.7,287.6,208.3,60.1,7.6,3.9,,1.8,,,,1.5,2.2,,,,,7403.9,5859.9,1544.0,1535.7,1175.8,243.7,40.3,18.5,,4.7,,,,13.0,28.4,,,,
50,1000,2002JJ00,10216.4,8053.9,2162.5,2142.0,1507.5,263.6,107.6,62.4,20.6,68.6,33.9,17.5,7.8,16.6,36.0,8.2,6.1,5.1,1.1,53856.9,42410.7,11446.2,11346.4,8679.3,1174.3,527.0,204.7,74.0,184.0,105.8,59.4,23.6,92.2,222.1,39.7,36.0,14.6,9.5
51,1000,2003MM01,329.7,266.5,63.3,63.0,48.8,8.9,,,,,,,,,1.7,,,,,1484.8,1153.6,331.3,328.1,240.0,37.0,,,,,,,,,23.0,,,,
52,1000,2003MM02,379.5,324.5,55.0,54.6,38.9,10.9,1.6,1.9,,,,,,,,,,,,1536.1,1307.6,228.5,226.1,149.4,39.2,9.7,9.0,,,,,,,,,,,
53,1000,2003MM03,481.8,390.8,91.1,90.7,64.1,20.8,1.4,2.2,,,,,,,,,,,,1913.5,1530.8,382.7,380.8,263.5,79.6,10.7,7.7,,,,,,,,,,,
54,1000,2003KW01,1191.0,981.7,209.4,208.3,151.8,40.7,3.9,5.1,,,,,,1.7,3.1,,,,,4934.4,3992.0,942.5,935.1,652.8,155.8,27.0,25.5,,,,,,17.1,46.8,,,,
55,1000,2003MM04,998.4,713.4,285.1,284.2,202.2,45.9,11.3,8.8,1.2,4.3,,1.9,1.8,4.0,2.4,,,,,4078.7,2756.0,1322.7,1317.6,987.9,188.7,50.7,26.6,3.9,11.4,,6.3,4.0,19.7,17.0,,,,
56,1000,2003MM05,1194.3,1001.7,192.7,190.9,138.8,23.2,12.3,7.2,,1.7,,1.0,,1.3,3.7,1.0,,,,4920.2,4114.1,806.1,797.5,585.6,81.3,66.7,22.4,,3.9,,2.6,,5.4,23.3,6.0,,,
57,1000,2003MM06,1503.6,1180.6,323.1,321.0,258.8,30.2,7.1,7.0,1.0,4.1,1.7,3.2,2.3,2.0,3.7,,,,,7261.5,5735.1,1526.4,1517.1,1246.4,137.9,30.6,27.7,4.0,17.2,7.4,11.2,10.1,8.8,15.8,,,,
58,1000,2003KW02,3696.4,2895.6,800.8,796.1,599.7,99.3,30.7,23.0,2.9,10.2,2.7,6.1,4.5,7.3,9.8,2.4,,1.5,,16260.4,12605.2,3655.3,3632.2,2819.9,407.9,148.0,76.8,10.4,32.5,11.5,20.1,15.0,33.9,56.1,14.2,,4.2,
59,1000,2003MM07,1413.6,1126.8,286.8,279.8,157.7,32.7,21.2,18.0,6.4,9.8,3.8,9.9,6.1,4.9,9.3,2.7,1.0,3.0,,9238.6,7771.1,1467.5,1433.7,893.4,164.9,108.7,61.6,28.6,35.9,14.6,37.7,22.2,27.2,38.7,11.9,6.4,13.6,
60,1000,2003MM08,1807.0,1315.9,491.1,486.9,304.5,54.8,21.1,22.6,2.8,36.9,25.4,4.3,1.9,5.4,7.1,1.1,1.8,1.2,,12138.1,9265.7,2872.4,2848.4,2122.9,247.3,126.8,65.4,13.5,107.7,81.6,21.7,7.1,21.3,33.2,5.3,14.9,3.0,
61,1000,2003MM09,930.6,741.5,189.1,186.5,145.7,17.2,7.9,3.7,1.2,3.1,2.7,,,1.2,2.7,,,1.3,,4362.6,3150.2,1212.4,1201.8,1012.8,74.6,38.3,13.3,5.9,12.1,12.8,,,6.4,21.2,,,4.0,
62,1000,2003KW03,4151.2,3184.2,967.0,953.1,607.9,104.7,50.2,44.3,10.5,49.8,31.9,15.1,8.3,11.4,19.1,4.6,3.2,5.5,,25739.3,20187.1,5552.2,5483.9,4029.1,486.8,273.8,140.3,48.0,155.7,109.0,62.9,30.2,55.0,93.1,20.9,23.1,20.6,
63,1000,2003MM10,784.1,616.0,168.1,165.8,129.3,26.1,4.3,2.0,,,,,,,1.6,,1.3,,,3617.9,2718.8,899.1,889.2,720.7,112.9,21.3,8.7,,,,,,,11.5,,5.3,,
64,1000,2003MM11,420.9,355.8,65.0,64.8,34.6,27.1,,,,,,,,,,,,,,1654.4,1370.4,284.0,282.7,166.2,93.5,,,,,,,,,,,,,
65,1000,2003MM12,388.8,349.0,39.8,39.6,19.9,16.4,1.5,,,,,,,,,,,,,1817.2,1607.1,210.1,208.3,117.8,60.5,10.6,,,,,,,,,,,,
66,1000,2003KW04,1593.8,1320.9,272.9,270.3,183.8,69.6,6.5,3.0,,1.1,,,,1.2,3.2,,1.3,,,7089.5,5696.2,1393.2,1380.3,1004.8,266.9,37.2,13.7,,4.1,,,,14.3,29.3,,5.5,,
67,1000,2003JJ00,10632.4,8382.3,2250.1,2227.7,1543.2,314.3,91.4,75.3,14.4,62.0,35.2,22.2,13.0,21.6,35.2,7.9,5.4,7.9,1.2,54023.7,42480.5,11543.2,11431.5,8506.6,1317.4,486.1,256.3,65.0,197.1,123.9,87.4,46.0,120.3,225.3,44.1,34.2,28.0,5.4
68,1000,2004MM01,350.2,291.5,58.7,58.5,42.6,10.5,,,,1.1,1.8,,,,,,,,,1455.1,1162.4,292.8,290.5,215.3,42.4,,,,4.1,7.7,,,,,,,,
69,1000,2004MM02,435.4,368.4,67.0,66.8,40.7,21.2,2.0,1.8,,,,,,,,,,,,1714.1,1432.2,281.9,280.8,175.2,79.0,9.4,8.8,,,,,,,,,,,
70,1000,2004MM03,456.0,399.5,56.6,56.1,37.5,13.8,1.1,,,,,,,,1.3,,,,,1830.6,1554.7,276.0,273.7,194.5,54.1,4.2,,,,,,,,9.4,,,,
71,1000,2004KW01,1241.6,1059.4,182.2,181.4,120.8,45.5,3.6,3.3,,1.3,1.9,,,,2.7,,,,,4999.9,4149.3,850.6,845.1,585.0,175.5,16.9,16.3,,4.8,8.2,,,,25.1,,,,
72,1000,2004MM04,845.5,579.2,266.3,265.4,183.1,47.1,11.5,11.2,1.9,3.0,,2.1,,1.5,3.2,,,,,3546.1,2251.5,1294.6,1288.6,956.0,190.1,51.0,43.0,7.3,9.2,,6.9,,7.6,15.1,,,,
73,1000,2004MM05,1341.7,1130.8,211.0,209.8,154.1,30.5,7.9,8.2,,2.3,,1.3,,1.9,2.1,,,,,5947.2,5098.3,848.8,844.2,636.4,103.7,35.9,29.2,,8.6,,4.4,,9.7,10.5,,,,
74,1000,2004MM06,1199.3,960.4,238.9,236.5,188.8,18.4,9.5,5.6,1.8,2.6,,2.8,,2.2,3.2,1.2,,,,5749.2,4566.3,1183.0,1172.7,960.7,82.1,43.1,23.0,6.7,8.7,,11.5,,15.3,16.9,5.8,,,
75,1000,2004KW02,3386.5,2670.3,716.2,711.7,526.0,96.0,28.9,25.0,4.6,7.8,1.5,6.2,1.6,5.6,8.5,2.2,,1.3,,15242.4,11916.0,3326.4,3305.5,2553.1,375.9,130.0,95.2,17.3,26.5,5.1,22.9,4.5,32.6,42.5,11.4,,4.1,
76,1000,2004MM07,1319.0,1046.8,272.2,268.3,156.5,37.3,15.4,18.4,6.6,6.7,2.6,8.3,3.6,3.4,9.6,1.8,,,,9031.3,7470.1,1561.3,1541.5,1055.6,188.3,72.4,62.7,28.3,19.5,9.5,31.9,11.1,19.5,42.6,10.7,,,
77,1000,2004MM08,1647.5,1247.5,399.9,396.0,253.3,40.8,16.3,13.9,10.9,31.2,17.4,2.1,,3.4,5.9,1.1,1.2,1.4,,11744.1,9292.9,2451.2,2434.4,1788.5,202.7,99.2,40.7,53.9,113.3,75.6,8.5,,15.0,34.4,5.0,6.0,4.3,
78,1000,2004MM09,913.4,730.4,183.1,181.3,132.6,26.6,7.6,3.7,,3.1,2.2,,,2.1,2.2,,,,,4435.6,3342.2,1093.4,1087.0,862.9,116.6,39.3,14.2,,11.9,9.5,,,13.1,14.8,,,,
79,1000,2004KW03,3879.9,3024.7,855.2,845.6,542.4,104.7,39.2,36.0,18.2,41.0,22.2,10.8,4.5,8.9,17.7,3.5,2.3,3.3,,25211.0,20105.1,5105.8,5062.8,3707.1,507.6,210.8,117.6,84.8,144.7,94.6,42.2,14.0,47.6,91.7,18.1,11.9,9.7,
80,1000,2004MM10,787.4,647.6,139.8,139.0,116.3,15.6,2.9,,,,,,,,1.1,,,,,3686.1,2856.8,829.4,825.3,722.4,66.3,17.2,,,,,,,,5.3,,,,
81,1000,2004MM11,493.6,392.0,101.6,101.3,47.3,48.0,2.7,1.5,,,,,,,,,,,,1878.9,1438.2,440.7,438.4,211.0,189.4,13.1,4.9,,,,,,,,,,,
82,1000,2004MM12,366.4,316.3,50.1,49.9,29.7,14.7,3.4,,,,,,,,,,,,,1507.7,1292.4,215.2,212.8,126.9,51.6,14.0,,,,,,,,,,,,
83,1000,2004KW04,1647.4,1355.9,291.5,290.2,193.3,78.2,9.0,3.1,,,,,,1.3,2.7,,,,,7072.6,5587.4,1485.3,1476.5,1060.3,307.3,44.3,12.8,,,,,,17.6,22.2,,,,
84,1000,2004JJ00,10155.4,8110.3,2045.1,2028.8,1382.5,324.4,80.7,67.4,23.9,50.7,26.2,18.3,6.5,16.5,31.7,6.6,3.3,5.1,1.2,52525.9,41757.8,10768.1,10689.9,7905.4,1366.2,402.0,241.9,109.1,178.4,109.9,70.1,20.8,104.6,181.4,37.9,18.7,16.1,5.6
85,1000,2005MM01,336.4,290.3,46.1,45.8,30.9,12.4,,,,,,,,,,,,,,1404.7,1165.6,239.2,237.9,169.9,56.2,,,,,,,,,,,,,
86,1000,2005MM02,418.9,358.6,60.3,60.0,30.8,24.7,1.2,2.2,,,,,,,,,,,,1628.4,1386.8,241.6,240.3,131.4,87.2,5.6,9.7,,,,,,,,,,,
87,1000,2005MM03,468.3,369.5,98.8,98.4,75.0,15.3,4.8,,,,,,,,,,,,,1903.4,1428.6,474.7,472.0,379.8,56.1,20.8,,,,,,,,,,,,
88,1000,2005KW01,1223.5,1018.4,205.1,204.3,136.7,52.5,6.2,3.3,,1.2,,,,1.4,1.6,,,,,4936.5,3981.0,955.5,950.3,681.2,199.4,27.8,14.2,,3.6,,,,9.3,8.8,,,,
89,1000,2005MM04,654.3,496.0,158.3,157.8,89.2,47.3,8.0,6.6,,1.5,,,,1.6,1.1,,,,,2561.5,1856.4,705.1,702.5,424.1,189.2,39.6,22.1,,4.7,,,,8.3,6.7,,,,
90,1000,2005MM05,1317.8,1099.2,218.6,217.1,170.7,19.9,9.5,5.9,1.0,1.5,,1.9,2.4,1.3,2.6,,,,,5870.2,4984.5,885.7,880.5,709.5,68.6,41.5,20.5,4.1,4.7,,6.9,3.0,5.7,14.9,,,,
91,1000,2005MM06,1041.1,880.6,160.6,158.6,115.2,17.4,10.9,3.9,,1.9,1.5,1.6,,1.3,3.6,,,,,5147.0,4327.7,819.3,810.6,633.2,72.7,48.7,12.6,,4.8,6.5,5.2,,4.8,17.4,,,,
92,1000,2005KW02,3013.2,2475.7,537.5,533.5,375.1,84.6,28.5,16.4,2.5,4.8,2.5,4.3,3.3,4.2,7.3,1.7,,1.1,,13578.6,11168.6,2410.0,2393.5,1766.7,330.4,129.8,55.2,10.0,14.2,9.9,14.4,5.2,18.8,39.0,7.3,,4.1,
93,1000,2005MM07,1370.0,1050.2,319.8,313.4,197.0,47.1,13.2,12.5,6.2,7.6,6.0,10.5,1.9,3.6,7.8,1.2,,,3.5,9161.8,7250.1,1911.7,1861.3,1355.2,237.7,66.1,41.1,27.3,25.9,24.9,29.5,5.0,14.7,33.8,5.0,,,36.8
94,1000,2005MM08,1646.8,1278.3,368.5,365.6,219.5,49.3,22.6,14.1,2.9,28.4,12.7,2.2,3.7,3.1,7.1,,,,,11322.0,9118.3,2203.6,2191.5,1523.5,243.4,135.1,42.9,12.3,102.5,58.0,8.2,5.0,23.4,37.4,,,,
95,1000,2005MM09,932.7,760.3,172.4,171.0,122.5,21.7,9.1,6.8,1.1,2.5,1.9,1.4,,1.9,2.1,,,,,4408.0,3495.2,912.8,906.0,717.7,76.0,42.9,24.9,4.5,8.4,7.1,3.4,,9.7,11.1,,,,
96,1000,2005KW03,3949.5,3088.8,860.7,850.1,539.0,118.1,44.9,33.3,10.2,38.4,20.6,14.1,5.8,8.6,17.0,2.4,1.8,2.2,4.2,24891.8,19863.6,5028.2,4958.8,3596.3,557.1,244.0,108.8,44.1,136.8,89.9,41.1,10.4,47.9,82.3,9.7,11.6,8.4,39.6
97,1000,2005MM10,804.5,619.3,185.2,184.2,142.3,25.0,8.6,2.9,1.2,,,,,,1.2,,,,,3933.6,2891.5,1042.1,1037.2,833.8,105.5,56.4,13.4,6.5,,,,,,8.0,,,,
98,1000,2005MM11,453.8,358.6,95.3,94.7,41.4,47.4,1.1,1.3,,,,,,1.4,1.3,,,,,1697.4,1294.1,403.3,401.0,195.5,177.0,6.4,4.9,,,,,,5.6,7.7,,,,
99,1000,2005MM12,367.9,320.6,47.3,47.1,26.0,16.3,1.0,2.0,,,,,,,,,,,,1604.2,1376.5,227.7,226.1,135.4,66.2,5.7,9.0,,,,,,,,,,,
100,1000,2005KW04,1626.2,1298.4,327.8,326.0,209.7,88.7,10.7,6.2,1.4,1.5,,1.2,,2.8,2.8,,,,,7235.2,5562.2,1673.1,1664.3,1164.8,348.7,68.6,27.3,8.0,5.7,,4.3,,14.5,18.9,,,,
101,1000,2005JJ00,9812.4,7881.3,1931.1,1913.9,1260.5,343.9,90.3,59.2,14.3,46.0,24.0,20.2,9.5,17.1,28.8,5.1,2.8,3.7,5.6,50642.2,40575.4,10066.8,9966.9,7209.0,1435.6,470.2,205.5,63.2,160.3,103.9,62.6,17.1,90.4,148.9,23.1,16.6,14.1,46.1
102,1000,2006MM01,394.5,325.3,69.2,68.8,47.5,17.2,,,,,,,,,,,,,,1608.8,1302.5,306.3,303.8,215.1,68.3,,,,,,,,,,,,,
103,1000,2006MM02,396.6,342.4,54.2,53.8,30.2,13.1,2.6,6.0,,,,,,,,,,,,1557.6,1329.1,228.5,226.9,126.7,48.2,14.5,27.7,,,,,,,,,,,
104,1000,2006MM03,415.7,352.2,63.5,62.9,38.1,19.9,1.2,1.5,,,,,,,,,,,,1652.2,1368.8,283.3,281.0,180.2,78.2,6.3,5.1,,,,,,,,,,,
